nt_ref,nt_text,ot_ref,ot_text
"Eph 6:2,3",Honour thy father and mother; which is the first commandment with promise;,Ex 20:12,Honor thy father and thy mother: that thy days may be long upon the land which the LORD thy God giveth thee.
"Eph 6:2,3",Honour thy father and mother; which is the first commandment with promise;,De 5:16,"Honor thy father and thy mother, as the LORD thy God hath commanded thee; that thy days may be prolonged, and that it may go well with thee, in the land which the LORD thy God giveth thee."
1Ti 5:18,"For the scripture saith, Thou shalt not muzzle the ox that treadeth out the corn. And, The labourer is worthy of his reward.",De 25:4,Thou shalt not muzzle the ox when he treadeth out the corn.
Heb 1:5,"For unto which of the angels said he at any time, Thou art my Son, this day have I begotten thee? And again, I will be to him a Father, and he shall be to me a Son?",Ps 2:7,"I will declare the decree: the LORD hath said unto me, Thou art my Son; this day have I begotten thee."
Heb 1:5,"For unto which of the angels said he at any time, Thou art my Son, this day have I begotten thee? And again, I will be to him a Father, and he shall be to me a Son?",2Sa 7:14,"I will be his father, and he shall be my son. If he commit iniquity, I will chasten him with the rod of men, and with the stripes of the children of men:"
Heb 1:6,"And again, when he bringeth in the firstbegotten into the world, he saith, And let all the angels of God worship him.",Ps 97:7,"Confounded be all they that serve graven images, that boast themselves of idols: worship him, all ye gods."
Heb 1:7,"And of the angels he saith, Who maketh his angels spirits, and his ministers a flame of fire.",Ps 104:4,Who maketh his angels spirits; his ministers a flaming fire:
"Heb 1:8,9","But unto the Son he saith, Thy throne, O God, is for ever and ever: a sceptre of righteousness is the sceptre of thy kingdom.","Ps 45:6,7","Thy throne, O God, is for ever and ever: the sceptre of thy kingdom is a right sceptre."
"Heb 1:10,11,12","And, Thou, Lord, in the beginning hast laid the foundation of the earth; and the heavens are the works of thine hands:","Ps 102:25,26,27",Of old hast thou laid the foundation of the earth: and the heavens are the work of thy hands.
Heb 1:13,"But to which of the angels said he at any time, Sit on my right hand, until I make thine enemies thy footstool?",Ps 110:1,"The LORD said unto my Lord, Sit thou at my right hand, until I make thine enemies thy footstool."
Heb 2:6-8,"But one in a certain place testified, saying, What is man, that thou art mindful of him? or the son of man that thou visitest him?",Ps 8:4-6,"What is man, that thou art mindful of him? and the son of man, that thou visitest him?"
Heb 2:12,"Saying, I will declare thy name unto my brethren, in the midst of the church will I sing praise unto thee.",Ps 22:22,I will declare thy name unto my brethren: in the midst of the congregation will I praise thee.
Heb 2:13,"And again, I will put my trust in him. And again, Behold I and the children which God hath given me.",Isa 8:18,"Behold, I and the children whom the LORD hath given me are for signs and for wonders in Israel from the LORD of hosts, which dwelleth in mount Zion."
Heb 2:13,"And again, I will put my trust in him. And again, Behold I and the children which God hath given me.",Ps 18:2,"The LORD is my rock, and my fortress, and my deliverer; my God, my strength, in whom I will trust; my buckler, and the horn of my salvation, and my high tower."
Heb 2:13,"And again, I will put my trust in him. And again, Behold I and the children which God hath given me.",2Sa 22:2,"And he said, The LORD is my rock, and my fortress, and my deliverer;"
Heb 3:7-11,"Wherefore (as the Holy Ghost saith, To day if ye will hear his voice,",Ps 95:7-11,"For he is our God; and we are the people of his pasture, and the sheep of his hand. To day if ye will hear his voice,"
Heb 3:15,"While it is said, To day if ye will hear his voice, harden not your hearts, as in the provocation.",Ps 95:7-11,"For he is our God; and we are the people of his pasture, and the sheep of his hand. To day if ye will hear his voice,"
Heb 4:3,"For we which have believed do enter into rest, as he said, As I have sworn in my wrath, if they shall enter into my rest: although the works were finished from the foundation of the world.",Ps 95:11,Unto whom I sware in my wrath that they should not enter into my rest.
Heb 4:4,"For he spake in a certain place of the seventh day on this wise, And God did rest the seventh day from all his works.","Ge 2:2,3",And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made.
Heb 4:7,"Again, he limiteth a certain day, saying in David, To day, after so long a time; as it is said, To day if ye will hear his voice, harden not your hearts.","Ps 95:7,8","For he is our God; and we are the people of his pasture, and the sheep of his hand. To day if ye will hear his voice,"
Heb 5:5,"So also Christ glorified not himself to be made an high priest; but he that said unto him, Thou art my Son, to day have I begotten thee.",Ps 2:7,"I will declare the decree: the LORD hath said unto me, Thou art my Son; this day have I begotten thee."
Heb 5:6,"As he saith also in another place, Thou art a priest for ever after the order of Melchisedec.",Ps 110:4,"The LORD hath sworn, and will not repent, Thou art a priest for ever after the order of Melchizedek."
Heb 6:14,"Saying, Surely blessing I will bless thee, and multiplying I will multiply thee.","Ge 22:16,17","And said, By myself have I sworn, saith the LORD, for because thou hast done this thing, and hast not withheld thy son, thine only son:"
"Heb 7:17,21","For he testifieth, Thou art a priest for ever after the order of Melchisedec.",Ps 110:4,"The LORD hath sworn, and will not repent, Thou art a priest for ever after the order of Melchizedek."
Heb 8:5,"Who serve unto the example and shadow of heavenly things, as Moses was admonished of God when he was about to make the tabernacle: for, See, saith he, that thou make all things according to the pattern shewed to thee in the mount.",Ex 25:40,"And look that thou make them after their pattern, which was showed thee in the mount."
Heb 8:8-12,"For finding fault with them, he saith, Behold, the days come, saith the Lord, when I will make a new covenant with the house of Israel and with the house of Judah:",Jer 31:31-34,"Behold, the days come, saith the LORD, that I will make a new covenant with the house of Israel, and with the house of Judah:"
Heb 9:20,"Saying, This is the blood of the testament which God hath enjoined unto you.",Ex 24:8,"And Moses took the blood, and sprinkled it on the people, and said, Behold the blood of the covenant, which the LORD hath made with you concerning all these words."
Heb 10:5-7,"Wherefore when he cometh into the world, he saith, Sacrifice and offering thou wouldest not, but a body hast thou prepared me:",Ps 40:6-8,Sacrifice and offering thou didst not desire; mine ears hast thou opened: burnt offering and sin offering hast thou not required.
"Heb 10:16,17","This is the covenant that I will make with them after those days, saith the Lord, I will put my laws into their hearts, and in their minds will I write them;","Jer 31:33,34","But this shall be the covenant that I will make with the house of Israel; After those days, saith the LORD, I will put my law in their inward parts, and write it in their hearts; and will be their God, and they shall be my people."
Heb 10:30,"For we know him that hath said, Vengeance belongeth unto me, I will recompense, saith the Lord. And again, The Lord shall judge his people.","De 32:35,36","To me belongeth vengeance and recompence; their foot shall slide in due time: for the day of their calamity is at hand, and the things that shall come upon them make haste."
"Heb 10:37,38","For yet a little while, and he that shall come will come, and will not tarry.","Hab 2:3,4","For the vision is yet for an appointed time, but at the end it shall speak, and not lie: though it tarry, wait for it; because it will surely come, it will not tarry."
Heb 11:21,"By faith Jacob, when he was a dying, blessed both the sons of Joseph; and worshipped, leaning upon the top of his staff.",Ge 47:31,"And he said, Swear unto me. And he sware unto him. And Israel bowed himself upon the bed's head."
"Heb 12:5,6","And ye have forgotten the exhortation which speaketh unto you as unto children, My son, despise not thou the chastening of the Lord, nor faint when thou art rebuked of him:","Pr 3:11,12","My son, despise not the chastening of the LORD; neither be weary of his correction:"
Heb 12:20,"(For they could not endure that which was commanded, And if so much as a beast touch the mountain, it shall be stoned, or thrust through with a dart:","Ex 19:12,13","And thou shalt set bounds unto the people round about, saying, Take heed to yourselves, that ye go not up into the mount, or touch the border of it: whosoever toucheth the mount shall be surely put to death:"
Heb 12:21,"And so terrible was the sight, that Moses said, I exceedingly fear and quake:)",De 9:19,"For I was afraid of the anger and hot displeasure, wherewith the LORD was wroth against you to destroy you. But the LORD hearkened unto me at that time also."
Heb 12:26,"Whose voice then shook the earth: but now he hath promised, saying, Yet once more I shake not the earth only, but also heaven.",Hag 2:6,"For thus saith the LORD of hosts; Yet once, it is a little while, and I will shake the heavens, and the earth, and the sea, and the dry land;"
Heb 12:29,For our God is a consuming fire.,De 4:24,"For the LORD thy God is a consuming fire, even a jealous God."
Heb 13:5,"Let your conversation be without covetousness; and be content with such things as ye have: for he hath said, I will never leave thee, nor forsake thee.",De 31:8,"And the LORD, he it is that doth go before thee; he will be with thee, he will not fail thee, neither forsake thee: fear not, neither be dismayed."
Heb 13:5,"Let your conversation be without covetousness; and be content with such things as ye have: for he hath said, I will never leave thee, nor forsake thee.",Jos 1:5,"There shall not any man be able to stand before thee all the days of thy life: as I was with Moses, so I will be with thee: I will not fail thee, nor forsake thee."
Heb 13:6,"So that we may boldly say, The Lord is my helper, and I will not fear what man shall do unto me.",Ps 118:6,The LORD is on my side; I will not fear: what can man do unto me?
Jas 2:8,"If ye fulfil the royal law according to the scripture, Thou shalt love thy neighbour as thyself, ye do well:",Le 19:18,"Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbor as thyself: I am the LORD."
Jas 2:11,"For he that said, Do not commit adultery, said also, Do not kill. Now if thou commit no adultery, yet if thou kill, thou art become a transgressor of the law.","Ex 20:13,14,15",Thou shalt not kill.
Jas 2:23,"And the scripture was fulfilled which saith, Abraham believed God, and it was imputed unto him for righteousness: and he was called the Friend of God.",Ge 15:6,And he believed in the LORD; and he counted it to him for righteousness.
Jas 4:6,"But he giveth more grace. Wherefore he saith, God resisteth the proud, but giveth grace unto the humble.",Pr 3:34,Surely he scorneth the scorners: but he giveth grace unto the lowly.
1Pe 1:16,"Because it is written, Be ye holy; for I am holy.",Le 11:44,"For I am the LORD your God: ye shall therefore sanctify yourselves, and ye shall be holy; for I am holy: neither shall ye defile yourselves with any manner of creeping thing that creepeth upon the earth."
"1Pe 1:24,25","For all flesh is as grass, and all the glory of man as the flower of grass. The grass withereth, and the flower thereof falleth away:",Isa 40:6,"The voice said, Cry. And he said, What shall I cry? All flesh is grass, and all the goodliness thereof is as the flower of the field:"
1Pe 2:6,"Wherefore also it is contained in the scripture, Behold, I lay in Sion a chief corner stone, elect, precious: and he that believeth on him shall not be confounded.",Isa 28:16,"Therefore thus saith the Lord GOD, Behold, I lay in Zion for a foundation a stone, a tried stone, a precious corner stone, a sure foundation: he that believeth shall not make haste."
1Pe 2:7,"Unto you therefore which believe he is precious: but unto them which be disobedient, the stone which the builders disallowed, the same is made the head of the corner,","Ps 118:22,23",The stone which the builders refused is become the head stone of the corner.
1Pe 2:9,"But ye are a chosen generation, a royal priesthood, an holy nation, a peculiar people; that ye should shew forth the praises of him who hath called you out of darkness into his marvellous light;",Ex 19:6,"And ye shall be unto me a kingdom of priests, and an holy nation. These are the words which thou shalt speak unto the children of Israel."
1Pe 2:22,"Who did no sin, neither was guile found in his mouth:",Isa 53:9,"And he made his grave with the wicked, and with the rich in his death; because he had done no violence, neither was any deceit in his mouth."
1Pe 2:24,"Who his own self bare our sins in his own body on the tree, that we, being dead to sins, should live unto righteousness: by whose stripes ye were healed.","Isa 53:4,5","Surely he hath borne our griefs, and carried our sorrows: yet we did esteem him stricken, smitten of God, and afflicted."
"1Pe 3:10,11,12","For he that will love life, and see good days, let him refrain his tongue from evil, and his lips that they speak no guile:",Ps 34:12-16,"What man is he that desireth life, and loveth many days, that he may see good?"
1Pe 4:8,And above all things have fervent charity among yourselves: for charity shall cover the multitude of sins.,Pr 10:12,Hatred stirreth up strifes: but love covereth all sins.
2Pe 2:22,"But it is happened unto them according to the true proverb, The dog is turned to his own vomit again; and the sow that was washed to her wallowing in the mire.",Pr 26:11,"As a dog returneth to his vomit, so a fool returneth to his folly."
Re 7:16,"They shall hunger no more, neither thirst any more; neither shall the sun light on them, nor any heat.",Isa 49:10,"They shall not hunger nor thirst; neither shall the heat nor sun smite them: for he that hath mercy on them shall lead them, even by the springs of water shall he guide them."
Re 7:17,"For the Lamb which is in the midst of the throne shall feed them, and shall lead them unto living fountains of waters: and God shall wipe away all tears from their eyes.",Isa 25:8,He will swallow up death in victory; and the Lord GOD will wipe away tears from off all faces; and the rebuke of his people shall he take away from off all the earth: for the LORD hath spoken it.
Re 15:4,"Who shall not fear thee, O Lord, and glorify thy name? for thou only art holy: for all nations shall come and worship before thee; for thy judgments are made manifest.",Jer 10:6,"Forasmuch as there is none like unto thee, O LORD; thou art great, and thy name is great in might."
Re 15:4,"Who shall not fear thee, O Lord, and glorify thy name? for thou only art holy: for all nations shall come and worship before thee; for thy judgments are made manifest.",Ps 86:9,"All nations whom thou hast made shall come and worship before thee, O Lord; and shall glorify thy name."
Re 18:2,"And he cried mightily with a strong voice, saying, Babylon the great is fallen, is fallen, and is become the habitation of devils, and the hold of every foul spirit, and a cage of every unclean and hateful bird.",Isa 21:9,"And, behold, here cometh a chariot of men, with a couple of horsemen. And he answered and said, Babylon is fallen, is fallen; and all the graven images of her gods he hath broken unto the ground."
Re 18:3,"For all nations have drunk of the wine of the wrath of her fornication, and the kings of the earth have committed fornication with her, and the merchants of the earth are waxed rich through the abundance of her delicacies.",Jer 51:7,"Babylon hath been a golden cup in the LORD's hand, that made all the earth drunken: the nations have drunken of her wine; therefore the nations are mad."
